,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
131,saint-georges,46.12,11.77,78,93,3.58
132,mahabad,36.77,38.7,66,32,2.14
133,rome,41.89,44.1,86,96,1.5
134,cidreira,-30.17,72.07,90,5,6.53
135,rocha,-34.48,64.51,94,100,1
136,elkhart,37.01,35.98,41,1,5.1
137,tres lagoas,NAN,NAN,41,NAN,NAN
138,marcona,NAN,NAN,41,NAN,NAN
139,sentyabrskiy,NAN,NAN,41,NAN,NAN
140,nanortalik,60.14,30.54,74,100,4.97
141,buraydah,26.33,68,64,20,5.1
142,harper,30.3,33.37,92,1,5.12
143,palmer,-34.85,67.19,52,20,6.2
144,georgetown,6.8,73.4,100,75,2.1
145,ukiah,39.15,53.2,93,90,1.85
146,bedford,32.84,38.93,53,75,3.6
147,pavlogradka,54.2,30.69,94,100,5.76
148,nguiu,NAN,NAN,94,NAN,NAN
149,luderitz,-26.65,75.2,53,0,5.1
150,acarau,NAN,NAN,53,NAN,NAN
151,castro,-42.48,41,93,40,1
152,kijang,35.24,44.6,17,0,2.1
153,lujiang,31.26,57.2,26,84,4
154,college,64.86,12.29,92,1,2.04
155,barabinsk,55.35,17.28,91,62,5.38
156,griffith,-34.29,80.98,17,0,7.7
157,karamea,NAN,NAN,17,NAN,NAN
158,kushima,31.5,52.11,47,20,3.1
159,pokrovsk-uralskiy,NAN,NAN,47,NAN,NAN
160,souillac,45.6,43.47,93,100,4.1
161,salalah,17.01,87.8,38,0,3.1
162,ixtapa,20.71,68.95,88,75,1.5
163,ilulissat,69.22,6.8,50,100,4.6
164,buqayq,NAN,NAN,50,NAN,NAN
165,erenhot,43.65,24.1,61,0,4.37
166,yeppoon,-23.13,87.8,38,0,5.1
167,azimur,NAN,NAN,38,NAN,NAN
168,san patricio,-26.98,74.34,82,18,1.91
169,bargal,NAN,NAN,82,NAN,NAN
170,umzimvubu,NAN,NAN,82,NAN,NAN
171,lucapa,-8.42,72.82,90,64,2.12
172,hofn,64.25,30.2,63,40,9.3
173,bodden town,19.28,77.79,81,0,5.81
174,napa,38.3,55.17,100,90,1.5
175,fairbanks,64.84,7.41,92,1,1.96
176,grand gaube,-20.01,86.52,66,40,7.7
177,vao,59.1,30.11,78,99,5.62
178,henties bay,-22.12,66,84,49,1.34
179,tuktoyaktuk,69.44,-9.71,76,0,6.05
180,kathu,-27.7,86.23,13,0,4.06
181,port elizabeth,39.31,29.05,63,1,2.87
182,rawson,-43.3,54.88,60,33,14.08
183,sorland,67.67,41,56,20,9.3
184,ugoofaaru,5.67,82.35,75,40,4.47
185,gravelbourg,49.88,-2.69,95,72,3.05
186,vardo,39.62,25.23,58,75,2.6
187,corinto,3.17,68,94,75,1.5
188,potchefstroom,-26.71,76.44,30,0,2.99
189,okoneshnikovo,54.84,27,94,98,4.81
190,suntar,62.16,-11.88,98,100,1.89
191,iqaluit,63.75,1.4,70,75,8.2
192,gangotri,NAN,NAN,70,NAN,NAN
193,ramhormoz,31.28,64.4,59,88,4.1
194,east angus,45.48,11.75,51,20,8.2
195,vila velha,-3.71,80.8,78,75,3.6
196,rio gallegos,-51.62,42.8,60,0,8.2
197,jiayuguan,39.77,35.28,21,2,0.96
198,dongsheng,29.72,62.24,43,27,0.41
199,nouadhibou,20.93,65.64,47,89,7.03
200,necochea,-38.55,55,1,0,7.6
201,eskisehir,39.78,42.8,87,90,4.1
202,port-gentil,-0.72,84.2,79,40,3.1
203,the pas,53.82,-18.4,75,1,1
204,hamilton,43.26,16.41,78,20,4.6
205,dikson,73.51,-15.36,94,0,5.04
206,southbridge,42.08,20.88,62,1,4.6
207,pangnirtung,66.15,-1.7,78,88,0.8
208,cascais,38.7,54.75,87,40,2.6
209,mount isa,-20.73,104,11,37,3.1
210,talnakh,69.49,21.2,92,75,5
211,termiz,37.23,46.78,76,90,7.2
212,portland,43.66,23.88,42,1,7.7
213,maniitsoq,65.42,21.16,45,100,0.26
214,santa maria,-16.02,66,94,100,1.38
215,ulaanbaatar,47.92,14,56,58,1.65
216,burkhala,NAN,NAN,56,NAN,NAN
217,qaanaaq,77.48,-2.25,51,2,6.58
218,havre-saint-pierre,50.23,5,71,90,3.6
219,kigoma,-4.88,80.6,74,20,1.72
220,sedelnikovo,NAN,NAN,74,NAN,NAN
221,waipawa,-39.94,57.99,81,67,0.76
222,noumea,-22.28,75.2,64,40,5.7
223,sioux lookout,50.1,-14.89,75,5,1.51
224,illoqqortoormiut,NAN,NAN,75,NAN,NAN
225,longyearbyen,78.22,19.4,62,40,13.4
226,mys shmidta,NAN,NAN,62,NAN,NAN
227,gat,14.69,75.2,28,25,4.6
228,belyy yar,53.6,17.6,85,97,1
229,fukue,35.03,48.78,57,20,10.8
230,velez-malaga,36.77,45.82,54,20,8.7
231,turiacu,-5.01,73.56,99,100,1.18
232,sobolevo,54.43,35.19,91,100,4.99
233,kailua,21.39,73.02,88,90,6.13
234,crowley,30.21,40.03,75,1,2.1
235,nizhniy odes,63.64,12.99,92,100,2.39
236,altay,47.83,19.09,46,0,1.27
237,esil,51.96,31.59,97,100,6.66
238,ossora,59.24,7.14,74,0,2.07
239,avarua,-21.21,77,88,100,5.7
240,manakara,-22.14,92.77,54,4,3.31
241,salinopolis,-0.61,82.38,75,18,6.99
242,karratha,-20.74,87.62,54,30,6.5
243,kaoma,-14.8,81.54,57,35,1.52
244,provideniya,64.42,27.43,86,100,5.82
245,belushya guba,NAN,NAN,86,NAN,NAN
246,batagay-alyta,67.8,-26.88,97,51,0.97
247,lleida,41.61,46.45,81,85,6.2
248,bergama,39.12,53.83,67,40,4.1
249,prince rupert,54.32,44.6,75,90,4.17
250,sechura,-5.56,67.57,91,100,3.71
251,mount gambier,-37.83,57.2,62,40,7.7
252,derzhavinsk,51.1,33.17,98,100,6.96
253,norman wells,65.28,-20.2,75,5,3.1
254,zaysan,47.47,14.47,88,0,0.44
255,loukhi,66.08,34.34,98,100,3.78
256,olafsvik,NAN,NAN,98,NAN,NAN
257,yenagoa,4.92,87.46,66,28,0.41
258,ginda,30.69,45.1,89,100,1.39
259,pachino,36.72,50.74,76,100,1
260,houma,35.63,41.88,36,100,2.68
261,bonito,-1.36,73.72,93,100,1.71
262,marawi,8,82,85,99,1.79
263,blagoyevo,63.37,20.89,85,100,3.57
264,puerto colombia,10.99,79.75,74,100,7.2
265,chimore,-16.98,71.49,99,100,0.34
266,braganca,-1.05,74.41,91,63,0.81
267,cayenne,4.94,75.2,100,26,1.5
268,ampanihy,-24.69,88.48,44,100,5.18
269,kuryk,43.18,41.05,52,0,1.43
270,tabiauea,NAN,NAN,52,NAN,NAN
271,naze,5.43,88.43,94,40,0.31
272,broome,52.47,35.1,85,49,3.6
273,tasbuget,NAN,NAN,85,NAN,NAN
274,abeche,13.83,82.4,7,100,4.24
275,kananga,-5.9,75.22,84,90,0.9
276,coquimbo,-29.95,55.4,93,0,3.95
277,mirnyy,56.57,35.56,91,100,2.54
278,bathsheba,13.22,78.8,74,40,8.2
279,balaipungut,1.11,78.93,94,100,1.53
280,rajshahi,24.37,78.69,40,100,2.54
281,esperance,-33.86,78.8,41,67,8.7
282,kaitangata,-46.28,57,93,100,5.36
283,pouembout,-21.12,70.95,74,69,0.92
284,buarcos,40.16,54.1,82,75,3.1
285,anadyr,64.73,30.09,92,40,8
286,aksu,52.04,21.2,100,25,3.42
287,lethem,3.38,76.15,81,100,5.69
288,ostersund,63.18,34.81,74,100,6.7
289,clyde river,70.47,-9.31,77,58,3.46
290,bayanday,53.07,15.35,93,100,3.57
291,meybod,32.25,51.8,43,0,1
292,mikhaylovka,52.96,21.76,89,100,2.99
293,husavik,50.56,-8,85,6,0.98
294,broken hill,-31.97,78.8,19,100,7.2
295,roald,62.58,39.97,80,75,6.7
296,curuguaty,-24.47,70.5,97,0,1.07
297,moose factory,51.26,-16.6,75,1,4.6
298,altayskoye,51.95,23.25,78,14,0.54
299,tuatapere,-46.13,57.99,89,100,4.02
300,beringovskiy,63.05,29.89,89,100,4.64
301,mattoon,39.48,27.72,74,1,4.1
302,chokurdakh,70.62,-23.1,96,100,1.92
303,veraval,49.65,36.66,93,100,4.6
304,grindavik,63.84,25.56,68,20,10.3
305,tsabong,-26.02,87.94,14,0,0.7
306,katsuura,33.93,49.59,63,75,6.7
307,bud,62.91,41.14,49,75,6.2
308,oranjestad,12.52,75.2,88,20,5.7
309,khormuj,NAN,NAN,88,NAN,NAN
310,erzin,36.95,54.91,100,75,5.1
311,port-cartier,50.03,4.78,71,90,5.1
312,grand river south east,NAN,NAN,71,NAN,NAN
313,capreol,46.71,3.42,84,75,2.1
314,oum hadjer,13.3,84.76,8,3,6.05
315,homer,59.64,39.52,70,75,3.1
316,aloleng,16.13,81.05,71,100,1.46
317,davila,18.47,84.2,62,75,4.6
318,amderma,NAN,NAN,62,NAN,NAN
319,yerbogachen,61.28,-3.86,97,90,1.75
320,ambulu,-8.35,83.86,75,59,4.81
321,bogo,10.74,82.4,29,29,5.74
322,bilma,18.69,61.99,18,15,9.16
323,gualeguaychu,-33.01,69.01,89,24,0.89
324,cheuskiny,NAN,NAN,89,NAN,NAN
325,longlac,NAN,NAN,89,NAN,NAN
326,bengkulu,NAN,NAN,89,NAN,NAN
327,songjianghe,42.18,9.99,86,0,2.74
328,mar del plata,-46.43,51.46,58,31,8.15
329,watsa,3.04,81.82,57,0,1.46
330,pandan,11.72,81.54,79,89,7.76
331,sazonovo,54.2,32,92,63,2.52
332,zhuhai,40.71,32,66,0,1
333,kruisfontein,-34,77.56,48,57,7.32
334,kluczbork,50.97,32.83,68,31,3.76
335,pisco,-13.71,66.99,90,100,2.24
336,aguimes,27.91,64.13,72,40,7.7
337,rosetta,31.4,63.16,93,40,10.3
338,uruguaiana,-29.77,73.4,78,75,1.99
339,impfondo,1.62,89.26,43,87,1.51
340,karaul,NAN,NAN,43,NAN,NAN
341,coihaique,-45.58,39.2,86,91,1
342,warrington,53.39,37.8,93,40,5.7
343,lander,42.83,25.52,68,1,2.1
344,goderich,43.74,19.81,79,0,3.13
345,ola,59.58,-5.01,80,3,2.83
346,bajil,38.23,41.45,59,96,1.91
347,karabulak,44.91,35.2,71,100,0.35
348,port hardy,50.7,44.6,93,90,3.6
349,metro,-5.11,87.82,60,79,2.84
350,hong gai,20.96,75.2,36,0,3.6
351,miamisburg,39.64,21.36,79,1,4.1
352,ginir,7.14,72.37,51,32,3.95
353,tumannyy,NAN,NAN,51,NAN,NAN
354,new albany,38.29,25.32,100,1,2.55
355,guerrero negro,27.97,60.42,69,0,2.05
356,whitehorse,60.72,19.9,100,90,1
357,tual,-5.67,81.77,74,100,2.54
358,santa cruz,-6.22,76.05,76,92,4.06
359,yumen,40.29,36.01,19,0,2.19
360,malwan,NAN,NAN,19,NAN,NAN
361,sangar,63.92,-28.68,96,91,1.86
362,cockburn town,21.46,79.27,77,8,7.93
363,suruc,36.98,42.8,100,75,6.2
364,narsaq,60.91,37.4,29,100,9.3
365,asfi,NAN,NAN,29,NAN,NAN
366,khuzdar,27.8,54.91,52,62,3.77
367,chhatak,25.03,78.31,44,57,1.2
368,vangaindrano,-23.35,92.98,56,37,1.31
369,barbar,NAN,NAN,56,NAN,NAN
370,vanavara,60.35,15.91,95,89,2.84
371,xudat,41.63,41.31,72,0,3.19
372,berlevag,70.86,27.12,74,0,11.8
373,virginia beach,36.85,36.16,64,1,5.1
374,acari,-6.44,72.27,81,78,7.3
375,abu dhabi,24.47,79.66,44,20,6.2
376,ancud,-41.87,41,93,40,1
377,kilemary,56.78,24.21,79,37,2.1
378,hit,33.64,63.81,49,33,4.57
379,mahon,51.89,44.87,93,75,4.6
380,boa vista,2.82,78.8,78,40,4.1
381,ambilobe,-13.19,88.39,64,21,4.43
382,denpasar,-8.65,91.4,63,40,2.6
383,eydhafushi,5.1,81.18,79,13,4.7
384,tsihombe,NAN,NAN,79,NAN,NAN
385,puerto narino,-3.77,75.2,100,40,1
386,swan hill,-35.34,71.62,31,0,7.48
387,bilecik,40.14,44.64,87,90,4.1
388,bilibino,68.06,-19.66,99,100,1.13
389,nabire,-3.36,73.54,97,100,0.64
390,hasaki,35.73,55.08,43,20,5.1
391,omboue,-1.57,83.61,74,4,2.86
392,raposa,39.11,53.76,81,100,2.1
393,kalabagh,34.07,55.99,69,100,2.95
394,dipkarpaz,NAN,NAN,69,NAN,NAN
395,qingquan,34.7,41.04,80,76,2.5
396,hayden,47.77,33.37,99,90,0.86
397,te anau,-45.41,53.28,91,100,2.33
398,santa rosa,-36.62,57.99,23,0,9.13
399,vila,45.18,35.01,100,75,1
400,santa lucia,41.98,44.11,80,20,1
401,imeni poliny osipenko,52.42,-10.07,93,0,0.26
402,simao,22.76,63.75,49,0,1.92
403,saint anthony,43.97,32.05,92,90,1.59
404,orizona,-17.03,66.31,90,100,1.04
405,ventspils,57.39,28.4,92,90,3.6
406,cairns,-16.92,83.01,66,90,5.7
407,tiznit,29.7,59.04,50,0,0.37
408,lavrentiya,65.58,26.94,83,59,8.45
409,inhumas,-16.36,69.62,88,75,1
410,talara,-4.58,69.8,86,75,5.96
411,yar-sale,66.83,5.61,96,95,4.7
412,honningsvag,70.98,28.4,79,0,80.8
413,kaeo,-35.1,63.48,84,0,0.45
414,sungaipenuh,-2.08,69.24,83,100,1.36
415,samalaeulu,NAN,NAN,83,NAN,NAN
416,ahuimanu,21.44,73.02,88,90,1.13
417,palabuhanratu,NAN,NAN,88,NAN,NAN
418,guapore,NAN,NAN,88,NAN,NAN
419,lac du bonnet,50.25,-3.87,85,36,0.79
420,sao joao do piaui,-8.36,76.42,54,100,3.53
421,gamba,28.28,28.74,34,72,3.26
422,teeli,51.01,10.51,73,32,0.16
423,maragogi,-9.01,79.45,74,81,6.1
424,hailar,49.2,2.41,93,100,4.48
425,san felipe,-32.75,49.96,45,63,0.68
426,chara,39.42,48.02,93,75,1
427,soto la marina,23.77,50.99,84,67,2
428,vung tau,10.35,81.05,70,58,4.49
429,san cristobal,14.68,61.11,98,100,0.99
430,ust-maya,60.42,-35.75,97,30,0.78
431,yanan,NAN,NAN,97,NAN,NAN
432,awbari,26.59,51.35,38,0,3.16
433,manokwari,-0.87,75.4,82,66,1.25
434,mildura,-34.18,79.77,22,10,5.7
435,chicama,-7.84,68,88,90,3.1
436,poum,41.28,41,75,75,3.1
437,quatre cocos,-20.21,86.36,66,40,7.7
438,parana,-7.52,75.2,100,95,0.89
439,lata,30.78,20.57,98,100,5.09
440,havelock,34.88,36.36,60,1,4.1
441,puerto baquerizo moreno,-0.9,71.42,80,15,5.23
442,port moresby,-9.47,86,62,40,6.7
443,wanaka,-44.7,47.89,89,100,2.97
444,bairiki,NAN,NAN,89,NAN,NAN
445,chiknayakanhalli,13.42,79.77,50,21,1.86
446,pavilosta,56.89,29.26,86,16,3.1
447,bandarbeyla,9.49,80.67,81,53,5.57
448,seryshevo,51.09,-13.07,98,25,1.91
449,jodiya,22.69,83.84,57,75,1.5
450,xining,36.62,27.54,28,33,1.5
451,orocue,4.79,71.8,92,98,2.6
452,manta,45.1,40.39,88,100,4.81
453,kadoma,34.73,48.54,52,40,5.1
454,nijmegen,51.84,38.23,100,40,4.1
455,nan,18.78,80.6,36,0,1.5
456,isangel,-19.55,73.85,73,59,4.85
457,saldanha,41.42,43.77,92,100,6.86
458,casas grandes,30.15,45.37,63,0,0.47
459,pevek,69.7,3.97,94,100,2.84
460,baherden,38.44,52.21,54,58,2.34
461,atar,20.52,67.78,13,80,7.44
462,carroll,-30.99,91.4,26,12,6.7
463,araouane,18.9,66.24,11,57,5.84
464,manaure,11.78,79.36,80,100,7.79
465,arivonimamo,-19.01,84.2,51,40,3.6
466,khasan,42.43,23.11,46,0,3.89
467,chagda,NAN,NAN,46,NAN,NAN
468,beira,43.2,52,93,75,5.1
469,krasnoselkup,NAN,NAN,93,NAN,NAN
470,tateyama,36.66,39.83,93,75,1.5
471,akyab,NAN,NAN,93,NAN,NAN
472,iskateley,67.68,14.25,94,100,3.79
473,pio xii,-3.89,73.71,95,91,0.25
474,ewa beach,21.32,73.04,65,40,1.13
475,springbok,-29.67,68,40,1,1.5
476,novyy karachay,43.82,38.79,59,0,1.32
477,antofagasta,-23.65,62.6,77,90,1
478,constitucion,23.99,48.99,61,84,1.24
479,namatanai,-3.66,84.61,71,100,3.52
480,pontes e lacerda,-15.23,69.75,98,85,0.98
481,garowe,8.41,83.64,47,2,3.31
482,roebourne,-20.77,102.79,16,74,6.69
483,nizhneyansk,NAN,NAN,16,NAN,NAN
484,salta,-24.79,64.4,82,0,1
485,qaqortoq,60.72,37.4,29,100,9.3
486,ponta do sol,-20.63,67.42,94,100,0.76
487,half moon bay,37.46,57.47,100,90,4.6
488,weesp,52.31,38.05,86,20,6.7
489,constantine,36.36,46.4,81,75,4.6
490,latung,-8.45,75.49,88,99,0.34
491,sungairaya,0.7,80.47,79,11,3.6
492,nichinan,31.65,52.11,47,20,3.1
493,sinnamary,5.38,79.93,80,34,7.56
494,san rafael,-34.61,58.15,24,3,3.38
495,salto,-23.2,66.4,88,75,1.5
496,tabuk,17.41,73.81,86,69,4.6
497,upington,-28.46,84.2,21,0,2.1
498,santiago de cao,-7.96,68,88,90,3.1
499,piacabucu,-10.41,77.79,77,12,3.65
500,vila franca do campo,37.72,55.4,71,75,1.5
501,petropavlovsk-kamchatskiy,53.05,12.2,72,100,5
502,cam ranh,11.92,78.8,83,75,7.7
503,kavieng,-2.57,84.36,73,100,5.98
504,parys,-26.9,74.19,36,0,2.23
505,gartringen,48.64,37.24,93,75,2.1
506,marzuq,14.4,84.81,27,0,5.02
507,ostrovnoy,68.05,29.61,89,4,9.48
508,nisko,50.52,33.55,100,35,2.6
509,saint george,39.45,48.07,93,75,1
510,pacora,9.1,75.74,94,40,1
511,thinadhoo,0.53,82.49,75,100,4.77
512,puerto del rosario,28.5,66.2,72,40,11.3
513,sakakah,NAN,NAN,72,NAN,NAN
514,fare,-16.7,80.4,76,91,3.35
515,alexandria,43.97,45.73,87,100,5.72
516,umm lajj,25.02,80.78,51,1,7.99
517,soyo,-6.13,82.4,83,75,1.5
518,gorontalo,0.54,76.12,93,100,0.79
519,farafangana,-22.82,81.07,77,66,3.79
520,la rioja,-29.41,68.11,58,0,3.02
521,lasa,34.92,56.26,93,75,1.5
522,kazalinsk,NAN,NAN,93,NAN,NAN
523,aberdeen,46.98,48.43,93,40,7.2
524,bokspits,NAN,NAN,93,NAN,NAN
525,shu,43.6,42.58,74,24,1.41
526,diffa,13.32,77.09,19,13,7.65
527,saleaula,NAN,NAN,19,NAN,NAN
528,killybegs,54.63,39.2,93,100,3.6
529,sao filipe,14.9,73.13,66,66,7.62
530,mattawa,46.32,7.41,84,90,2.6
531,mao,19.55,71.06,100,75,1.5
532,along,28.17,64.96,63,73,1.23
533,los palacios,22.59,73.33,91,0,4.71
534,odesskoye,54.21,30.36,94,88,4.23
535,payson,40.04,33.28,92,75,1.5
536,diamantina,-18.24,65.98,94,72,0.51
537,almaznyy,48.03,35.6,83,90,6
538,businga,3.34,92.12,40,13,1.04
539,raudeberg,61.99,41.14,70,75,12.9
540,bolintinu-din-vale,NAN,NAN,70,NAN,NAN
541,sorong,-0.86,76.71,94,100,0.34
542,mattru,7.62,80.29,77,4,1.2
543,messina,38.19,55.58,58,75,3.6
544,tidore,NAN,NAN,58,NAN,NAN
545,birao,10.3,90.19,14,86,3.31
546,santa cruz de la palma,28.68,63.81,88,75,5.7
547,kushiro,43.11,33.8,69,40,9.8
548,tobermory,45.25,19,81,100,7.11
549,male,50.74,38.53,88,100,3.97
550,galesong,-5.32,87.8,74,40,5.1
551,maceio,-9.67,71.6,94,40,1.5
552,tuggurt,NAN,NAN,94,NAN,NAN
553,dingle,11,77.74,87,96,5.24
554,annau,37.89,46.4,81,75,3.1
555,shingu,33.72,51.8,50,20,9.3
556,kaduna,10.52,76.8,12,14,4.76
557,puntarenas,9.98,71.8,73,75,3.6
558,zhanakorgan,43.91,42.85,77,100,5.01
559,pahrump,36.21,38.79,63,1,0.49
560,port hedland,-20.31,98.6,29,0,7.2
561,kota belud,6.35,80.6,88,90,2.1
562,varhaug,58.61,38.07,86,75,3.6
563,asosa,10.07,89.78,30,62,1.45
564,jalu,29.03,62.47,55,4,10.15
565,urdzhar,NAN,NAN,55,NAN,NAN
566,abu zabad,12.35,90.39,13,12,5.24
567,bowen,-20.01,86,55,0,4.1
568,galatina,40.17,52.12,93,40,1.5
569,sept-iles,50.2,4.77,71,90,5.1
570,magnolia,33.27,29.57,92,1,1.43
571,voyvozh,62.89,14.45,86,100,3.18
572,korla,NAN,NAN,86,NAN,NAN
573,am timan,11.04,91.42,8,36,2.68
574,verkhoyansk,67.55,-37.53,90,3,0.11
575,namwala,-15.75,92.28,39,0,0.25
576,sitka,37.17,43,84,71,7.15
577,nishihara,35.74,55.67,43,1,8.7
578,rolim de moura,NAN,NAN,43,NAN,NAN
579,garoua,9.31,78.8,53,44,1
580,sistranda,63.73,43.29,52,75,8.7
581,khartoum,15.59,86,20,67,3.1
582,montrose,56.71,35.71,86,20,1.5
583,mehamn,71.03,29.43,79,0,80.8
584,wildberg,48.62,37.71,93,75,2.1
585,tomatlan,19.93,63.1,56,52,1.38
586,iralaya,15,81.27,78,100,8.81
587,columbia,34,30.54,86,1,2.6
588,lagoa,37.14,48.07,87,20,2.6
589,tonk,26.16,78.96,33,10,3.34
590,dolinsk,47.32,24.8,85,75,8
591,pietarsaari,NAN,NAN,85,NAN,NAN
592,berezovka,55.71,29.32,52,0,1.55
